name,engine
Maruti Swift Dzire VDI,1248.0
Skoda Rapid 1.5 TDI Ambition,1498.0
Honda City 2017-2020 EXi,1497.0
Hyundai i20 Sportz Diesel,1396.0
Maruti Swift VXI BSIII,1298.0
Hyundai Xcent 1.2 VTVT E Plus,1197.0
Maruti Wagon R ,1061.0
Maruti 800 DX BSII,796.0
Toyota Etios VXD,1364.0
Ford Figo Diesel Celebration Edition,1399.0
Renault Duster 110PS Diesel RxL,1461.0
Maruti Zen LX,993.0
Maruti Swift Dzire VDi,1248.0
Maruti Wagon R LXI Minor,1061.0
Mahindra KUV 100 mFALCON G80 K8 5str,1198.0
Maruti Ertiga SHVS VDI,1248.0
Hyundai i20 1.4 CRDi Asta,1396.0
Maruti Alto LX,796.0
Hyundai i20 2015-2017 Asta 1.4 CRDi,1396.0
Mahindra Verito 1.5 D4 BSIII,1461.0
Honda WR-V i-DTEC VX,1498.0
Maruti Swift Dzire ZDI,1248.0
Maruti SX4 ZDI,1248.0
Tata Tigor 2017-2020 XZ,1199.0
Maruti Baleno Delta 1.2,1197.0
Maruti Alto 800 LXI,796.0
Chevrolet Enjoy TCDi LTZ 7 Seater,1248.0
Maruti Omni E MPI STD BS IV,796.0
Maruti Vitara Brezza LDi Option,1248.0
Maruti Omni 8 Seater BSIV,796.0
Hyundai i20 1.2 Asta Dual Tone,1197.0
Maruti Vitara Brezza LDi,1248.0
Maruti Alto 800 CNG LXI Optional,796.0
Maruti Alto K10 VXI Airbag,998.0
Hyundai Verna VTVT 1.6 SX Option,1591.0
Datsun GO D,1198.0
Tata Safari DICOR 2.2 LX 4x2,2179.0
Maruti 800 Std,796.0
Jeep Compass 1.4 Limited Plus BSIV,1368.0
Honda City i VTEC VX,1497.0
Honda City V MT,1497.0
Maruti Swift Dzire VXi AT,1197.0
Maruti Vitara Brezza VDi,1248.0
Maruti Alto K10 VXI,998.0
Toyota Fortuner 4x4 MT,2982.0
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2494.0
Mercedes-Benz B Class B180,2143.0
Honda Amaze S Diesel,1498.0
Mitsubishi Pajero Sport 4X4,2477.0
Honda City i DTEC S,1498.0
Maruti Ciaz Zeta,1462.0
Honda Jazz VX Diesel,1498.0
Toyota Innova Crysta 2.8 ZX AT BSIV,2755.0
Toyota Innova 2.5 G (Diesel) 7 Seater,2494.0
Audi A6 2.0 TDI Technology,1968.0
Toyota Corolla Altis 1.8 VL CVT,1798.0
Audi A6 2.0 TDI  Design Edition,1968.0
Mercedes-Benz New C-Class 220 CDI AT,2143.0
Tata Manza ELAN Quadrajet BS IV,1248.0
Hyundai i10 Magna,1197.0
Hyundai i20 Asta 1.4 CRDi,1396.0
Ford Figo 1.2P Titanium MT,1196.0
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,1498.0
Honda City i DTEC VX,1498.0
Maruti Wagon R AMT VXI,998.0
Volkswagen Ameo 1.5 TDI Comfortline,1498.0
Maruti Vitara Brezza ZDi Plus AMT,1248.0
Maruti Swift VDI Deca,1248.0
Maruti Swift Star VDI,1248.0
Maruti Ertiga ZXI,1373.0
Volkswagen Vento Diesel Highline,1598.0
Toyota Innova 2.5 VX (Diesel) 8 Seater,2494.0
